time_ground,flux_ground
5.549742700000000184e+01,9.994049999999999878e-01
5.550090000000000146e+01,1.000286000000000008e+00
5.550437199999999649e+01,9.998899999999999455e-01
5.550784399999999863e+01,1.001808000000000032e+00
5.551131600000000077e+01,1.000102000000000046e+00
5.551478800000000291e+01,9.992779999999999996e-01
5.551825999999999794e+01,9.990989999999999593e-01
5.552173200000000008e+01,1.000776000000000110e+00
5.552520400000000222e+01,9.985190000000000454e-01
5.552867700000000184e+01,1.000526000000000026e+00
5.553214899999999687e+01,9.977970000000000450e-01
5.553562099999999901e+01,9.999529999999999808e-01
5.553909300000000115e+01,9.977390000000000425e-01
5.554256500000000329e+01,9.982910000000000394e-01
5.554603699999999833e+01,9.992379999999999596e-01
5.554950900000000047e+01,9.965460000000000429e-01
5.555298100000000261e+01,1.000326000000000048e+00
5.555645400000000222e+01,1.000810999999999895e+00
5.555992599999999726e+01,9.993560000000000221e-01
5.556339799999999940e+01,1.000450999999999979e+00
5.556687000000000154e+01,1.002102000000000048e+00
5.557034199999999657e+01,1.002008999999999928e+00
5.557381399999999871e+01,1.000078999999999940e+00
5.557728600000000085e+01,1.000138999999999889e+00
5.558075800000000299e+01,1.000504000000000060e+00
5.558423100000000261e+01,1.002480000000000038e+00
5.558770299999999764e+01,9.980360000000000342e-01
5.559117499999999978e+01,1.000958999999999932e+00
5.559464700000000192e+01,9.999700000000000255e-01
5.559811899999999696e+01,9.985929999999999529e-01
5.560159099999999910e+01,9.987479999999999691e-01
5.560506300000000124e+01,9.994410000000000238e-01
5.560853500000000338e+01,1.001257999999999981e+00
5.561200800000000299e+01,1.000294999999999934e+00
5.561547999999999803e+01,1.001400000000000068e+00
5.561895200000000017e+01,1.000196000000000085e+00
5.562242400000000231e+01,1.000933999999999990e+00
5.562589599999999734e+01,1.000305000000000000e+00
5.562936799999999948e+01,9.999000000000000110e-01
5.563284000000000162e+01,1.001449000000000034e+00
5.563631199999999666e+01,1.000455000000000094e+00
5.563978399999999880e+01,1.000863000000000058e+00
5.564325699999999841e+01,9.991210000000000369e-01
5.564672900000000055e+01,9.996770000000000378e-01
5.565020100000000269e+01,1.000869000000000009e+00
5.565367299999999773e+01,9.983929999999999749e-01
5.565714499999999987e+01,1.004016000000000020e+00
5.566061700000000201e+01,9.988320000000000531e-01
5.566408899999999704e+01,1.001054000000000110e+00
5.566756099999999918e+01,1.001093999999999928e+00
5.567103399999999880e+01,9.984279999999999822e-01
5.567450600000000094e+01,9.985460000000000447e-01
5.567797800000000308e+01,9.993300000000000516e-01
5.568144999999999811e+01,1.000790000000000068e+00
5.568492200000000025e+01,1.000515999999999961e+00
5.568839400000000239e+01,1.002555000000000085e+00
5.569186599999999743e+01,9.995030000000000303e-01
5.569533799999999957e+01,9.980139999999999567e-01
5.569881099999999918e+01,9.998540000000000205e-01
5.570228300000000132e+01,1.000801000000000052e+00
