time_space,flux_space
6.416233900000000290e+01,1.000037000000000065e+00
6.416382699999999772e+01,9.994880000000000431e-01
6.416532700000000489e+01,9.993769999999999598e-01
6.416682699999999784e+01,9.997500000000000275e-01
6.416831299999999771e+01,1.000631000000000048e+00
6.416981900000000394e+01,9.982550000000000034e-01
6.417130299999999465e+01,1.000251000000000001e+00
6.417282299999999395e+01,1.000693000000000055e+00
6.417431299999999794e+01,1.000871999999999984e+00
6.417581599999999753e+01,9.994380000000000486e-01
6.417731700000000217e+01,1.000907999999999909e+00
6.417880599999999447e+01,9.996939999999999715e-01
6.418030699999999911e+01,1.000451999999999897e+00
6.418179700000000310e+01,1.000256999999999952e+00
6.418326799999999821e+01,9.987840000000000051e-01
6.418479399999999657e+01,1.001816000000000040e+00
6.418630600000000186e+01,1.000747999999999971e+00
6.418778500000000520e+01,1.000949000000000089e+00
6.418929099999999721e+01,9.992020000000000346e-01
6.419078799999999774e+01,9.999270000000000103e-01
6.419230500000000461e+01,1.000096000000000096e+00
6.419378399999999374e+01,9.999569999999999848e-01
6.419526100000000213e+01,1.000887000000000082e+00
6.419677099999999825e+01,1.000069000000000097e+00
6.419828800000000513e+01,1.000515000000000043e+00
6.419978299999999649e+01,9.996030000000000193e-01
6.420127300000000048e+01,9.985559999999999992e-01
6.420278899999999567e+01,9.990430000000000144e-01
6.420426899999999648e+01,9.995199999999999640e-01
6.420576699999999448e+01,9.993459999999999566e-01
6.420727599999999313e+01,9.998449999999999838e-01
6.420877000000000123e+01,9.987390000000000434e-01
6.421026000000000522e+01,1.000728999999999980e+00
6.421178399999999442e+01,9.998820000000000485e-01
6.421325600000000122e+01,1.000736999999999988e+00
6.421475300000000175e+01,9.999400000000000510e-01
6.421625099999999975e+01,9.993389999999999773e-01
6.421774899999999775e+01,9.998960000000000070e-01
6.421925099999999986e+01,9.992919999999999581e-01
6.422075200000000450e+01,1.000466999999999995e+00
6.422224199999999428e+01,1.000424999999999898e+00
6.422373799999999733e+01,1.001244999999999941e+00
6.422523200000000543e+01,1.000442000000000053e+00
6.422674600000000567e+01,1.000423999999999980e+00
6.422823400000000049e+01,9.997139999999999915e-01
6.422973100000000102e+01,9.992959999999999621e-01
6.423122899999999902e+01,1.000380000000000047e+00
6.423272699999999702e+01,9.983159999999999812e-01
6.423422499999999502e+01,1.000180000000000069e+00
6.423572000000000060e+01,1.000928000000000040e+00
6.423722100000000523e+01,1.000377999999999989e+00
6.423869899999999689e+01,1.000205999999999928e+00
6.424022100000000535e+01,9.981940000000000257e-01
6.424172000000000082e+01,1.001120999999999928e+00
6.424320000000000164e+01,1.001500000000000057e+00
6.424470900000000029e+01,9.993030000000000523e-01
6.424620899999999324e+01,1.000202999999999953e+00
6.424770599999999376e+01,9.997810000000000308e-01
6.424919300000000533e+01,9.987730000000000219e-01
6.425070100000000650e+01,1.000418999999999947e+00
6.425218599999999469e+01,9.996589999999999643e-01
6.425368500000000438e+01,9.999770000000000048e-01
6.425518399999999986e+01,1.000105000000000022e+00
6.425669000000000608e+01,1.000677000000000039e+00
6.425819199999999398e+01,1.002212000000000103e+00
6.425968799999999703e+01,9.996950000000000003e-01
6.426119500000000073e+01,9.995249999999999968e-01
6.426268399999999303e+01,1.000933999999999990e+00
6.426417200000000207e+01,9.975450000000000150e-01
6.426569600000000548e+01,9.997350000000000403e-01
6.426715299999999331e+01,1.000896999999999926e+00
6.426867500000000177e+01,1.000116999999999923e+00
6.427017600000000641e+01,9.991060000000000496e-01
6.427166200000000629e+01,1.001112999999999920e+00
6.427316500000000588e+01,9.995070000000000343e-01
6.427467699999999695e+01,9.993630000000000013e-01
6.427617800000000159e+01,9.988240000000000451e-01
6.427764899999999670e+01,9.996770000000000378e-01
6.427916000000000452e+01,1.000150000000000095e+00
6.428066200000000663e+01,1.000324999999999909e+00
6.428216000000000463e+01,1.000175999999999954e+00
6.428365900000000011e+01,9.998920000000000030e-01
6.428515099999999904e+01,1.001575000000000104e+00
6.428664399999999546e+01,1.000348000000000015e+00
6.428813599999999440e+01,1.000156999999999963e+00
6.428964799999999968e+01,1.001424000000000092e+00
6.429114199999999357e+01,9.996549999999999603e-01
6.429263299999999504e+01,1.000156999999999963e+00
6.429414800000000696e+01,9.987730000000000219e-01
6.429564200000000085e+01,9.995800000000000241e-01
6.429713700000000642e+01,1.000718999999999914e+00
6.429862199999999461e+01,9.976000000000000423e-01
6.430012600000000589e+01,1.000046999999999908e+00
6.430161999999999978e+01,1.000247000000000108e+00
6.430311899999999525e+01,9.993229999999999613e-01
6.430461599999999578e+01,1.000332999999999917e+00
6.430612700000000359e+01,9.993729999999999558e-01
6.430760200000000282e+01,9.993980000000000086e-01
6.430913499999999772e+01,9.993900000000000006e-01
6.431064000000000647e+01,9.982379999999999587e-01
6.431208599999999365e+01,9.994739999999999736e-01
6.431360800000000211e+01,1.000437999999999938e+00
6.431510600000000011e+01,9.984269999999999534e-01
6.431659999999999400e+01,9.987540000000000306e-01
6.431810299999999359e+01,1.000227999999999895e+00
6.431961499999999887e+01,9.987439999999999651e-01
6.432109699999999464e+01,9.996180000000000065e-01
6.432261499999999899e+01,1.000094000000000038e+00
6.432409499999999980e+01,1.000858000000000025e+00
6.432559200000000033e+01,1.001173000000000091e+00
6.432710199999999645e+01,1.000952000000000064e+00
6.432859200000000044e+01,9.998500000000000165e-01
6.433008900000000096e+01,9.996990000000000043e-01
6.433158299999999485e+01,1.000091999999999981e+00
6.433308800000000360e+01,9.985270000000000534e-01
6.433458699999999908e+01,1.001219000000000081e+00
6.433608099999999297e+01,9.989689999999999959e-01
6.433757500000000107e+01,9.991579999999999906e-01
6.433906799999999748e+01,1.001082999999999945e+00
6.434057099999999707e+01,9.994760000000000311e-01
6.434206799999999760e+01,1.001088999999999896e+00
6.434356599999999560e+01,1.001498999999999917e+00
6.434505599999999959e+01,9.985629999999999784e-01
6.434656499999999824e+01,9.995100000000000096e-01
6.434805900000000634e+01,9.996220000000000105e-01
6.434955700000000434e+01,9.987909999999999844e-01
6.435105500000000234e+01,9.985789999999999944e-01
6.435256300000000351e+01,1.000254999999999894e+00
6.435406500000000563e+01,9.985549999999999704e-01
6.435555399999999793e+01,9.998829999999999663e-01
6.435704599999999687e+01,9.987070000000000114e-01
6.435854399999999487e+01,1.000707000000000013e+00
6.436003300000000138e+01,1.000024000000000024e+00
6.436154000000000508e+01,1.000467999999999913e+00
6.436303999999999803e+01,1.000129000000000046e+00
6.436453600000000108e+01,1.000270999999999910e+00
6.436603300000000161e+01,9.996800000000000130e-01
6.436753099999999961e+01,1.000491999999999937e+00
6.436902899999999761e+01,9.983170000000000099e-01
6.437051599999999496e+01,9.981459999999999777e-01
6.437202399999999614e+01,9.998320000000000540e-01
6.437352799999999320e+01,9.998470000000000413e-01
6.437502000000000635e+01,1.000971999999999973e+00
6.437651800000000435e+01,1.001095999999999986e+00
6.437800699999999665e+01,9.986920000000000242e-01
6.437952199999999436e+01,9.999209999999999487e-01
6.438101100000000088e+01,1.000288999999999984e+00
6.438251999999999953e+01,1.000088000000000088e+00
6.438401100000000099e+01,9.996660000000000545e-01
6.438551099999999394e+01,1.001409999999999911e+00
6.438700199999999541e+01,1.000185000000000102e+00
6.438849999999999341e+01,9.997899999999999565e-01
6.439000900000000627e+01,9.995760000000000201e-01
6.439150200000000268e+01,9.998240000000000460e-01
6.439299900000000321e+01,1.001023999999999914e+00
6.439449199999999962e+01,1.000037000000000065e+00
6.439598900000000015e+01,1.000382000000000104e+00
6.439747900000000413e+01,1.000105000000000022e+00
6.439898999999999774e+01,9.991409999999999458e-01
6.440049399999999480e+01,1.000972999999999891e+00
6.440198599999999374e+01,1.001419000000000059e+00
6.440348500000000342e+01,9.994159999999999711e-01
6.440497600000000489e+01,1.001406000000000018e+00
6.440647500000000036e+01,9.996140000000000025e-01
6.440796899999999425e+01,9.988050000000000539e-01
6.440946999999999889e+01,9.984859999999999847e-01
6.441096000000000288e+01,9.978550000000000475e-01
6.441247500000000059e+01,9.996129999999999738e-01
6.441396299999999542e+01,1.001041999999999987e+00
6.441546099999999342e+01,1.001389000000000085e+00
6.441695900000000563e+01,1.001041000000000070e+00
6.441846200000000522e+01,9.994539999999999536e-01
6.441994599999999593e+01,1.000637999999999916e+00
6.442145100000000468e+01,1.000542999999999960e+00
6.442295099999999763e+01,1.001344000000000012e+00
6.442444700000000068e+01,1.001414999999999944e+00
6.442595500000000186e+01,1.001419000000000059e+00
6.442744500000000585e+01,1.000328000000000106e+00
6.442894200000000637e+01,9.998609999999999998e-01
6.443045800000000156e+01,1.000005000000000033e+00
6.443193100000000584e+01,1.000061000000000089e+00
6.443343500000000290e+01,1.001495999999999942e+00
6.443493300000000090e+01,1.000013000000000041e+00
6.443642499999999984e+01,9.997239999999999460e-01
6.443792100000000289e+01,9.993779999999999886e-01
6.443943699999999808e+01,9.989170000000000549e-01
6.444092399999999543e+01,1.000752000000000086e+00
6.444243000000000166e+01,9.998289999999999678e-01
6.444393100000000629e+01,1.000186000000000019e+00
6.444541700000000617e+01,9.997289999999999788e-01
6.444690400000000352e+01,1.000528000000000084e+00
6.444841300000000217e+01,9.996819999999999595e-01
6.444990300000000616e+01,1.000007000000000090e+00
6.445141300000000228e+01,1.000116000000000005e+00
6.445291299999999524e+01,9.991400000000000281e-01
6.445440299999999922e+01,1.000040999999999958e+00
6.445590599999999881e+01,9.986150000000000304e-01
6.445740000000000691e+01,1.000323000000000073e+00
6.445890900000000556e+01,9.999559999999999560e-01
6.446039100000000133e+01,1.000510999999999928e+00
6.446189699999999334e+01,9.996000000000000441e-01
6.446338099999999827e+01,9.992820000000000036e-01
6.446490000000000009e+01,9.991980000000000306e-01
6.446639399999999398e+01,1.000977000000000006e+00
6.446788499999999544e+01,9.994889999999999608e-01
6.446937699999999438e+01,1.001282999999999923e+00
6.447090199999999527e+01,1.000421000000000005e+00
6.447237199999999291e+01,1.000796999999999937e+00
6.447387600000000418e+01,9.994480000000000031e-01
6.447537199999999302e+01,1.001779999999999893e+00
6.447688300000000083e+01,1.000356999999999941e+00
6.447836100000000670e+01,1.001598999999999906e+00
6.447987500000000693e+01,1.000313999999999925e+00
6.448136499999999671e+01,1.000529999999999919e+00
6.448286299999999471e+01,1.000776000000000110e+00
6.448436599999999430e+01,9.991100000000000536e-01
6.448586899999999389e+01,9.995479999999999920e-01
6.448735999999999535e+01,1.000345000000000040e+00
6.448885500000000093e+01,1.000220000000000109e+00
6.449034600000000239e+01,1.000091000000000063e+00
6.449184999999999945e+01,1.000507000000000035e+00
6.449334799999999746e+01,1.000596999999999959e+00
6.449484800000000462e+01,1.000658000000000047e+00
6.449634799999999757e+01,1.001686000000000076e+00
6.449783499999999492e+01,9.998249999999999638e-01
6.449933900000000619e+01,9.999289999999999567e-01
6.450083700000000420e+01,1.000858999999999943e+00
6.450233500000000220e+01,9.995899999999999785e-01
6.450383999999999673e+01,9.988529999999999909e-01
6.450533000000000072e+01,1.000256000000000034e+00
6.450682799999999872e+01,1.000901000000000041e+00
6.450832099999999514e+01,9.985359999999999792e-01
6.450982399999999473e+01,1.000213000000000019e+00
6.451132200000000694e+01,1.000051999999999941e+00
6.451283100000000559e+01,9.993119999999999781e-01
6.451431700000000546e+01,1.000162999999999913e+00
